author,paper,fake
7265495,219410769,0
40861575,219410769,0
2073784912,219410769,0
6880566,225065627,0
51139589,209854486,0
123066510,239681712,0
1471169735,214506937,0
15286113,232355224,0
6539599,24987797,0
11389934,24987797,0
14448741,24987797,0
31042456,215948829,0
144454648,215948829,0
144934529,215948829,0
153338022,215948829,0
1997379,215948829,0
144982543,2178047,0
144461184,2178047,0
2196534,2178047,0
20353786,36606960,0
38559013,36606960,0
5606433,36606960,0
49119909,36606960,0
1871985,36606960,0
144531222,36606960,0
4599691,36606960,0
4067966,36606960,0
2118077161,36606960,0
4075373,207393142,0
7308423,207393142,0
40638151,207393142,0
144056379,226193169,0
70117134,226193169,0
2032223,226193169,0
145632198,226193169,0
49783256,226193169,0
2108215740,221076729,0
7023574,221076729,0
150077879,221076729,0
14469286,203609021,0
39904764,203609021,0
14489464,203609021,0
49981137,210934409,0
46453254,210934409,0
6374222,210934409,0
3979665,210934409,0
49967823,210934409,0
46667806,210934409,0
48744889,210934409,0
145585059,85151175,0
5082872,75791365,0
2205810468,237561766,0
2070396817,46711191,0
51302372,52298978,0
9198791,22238059,0
39984458,22238059,0
2473130,22238059,0
2132914,14154659,0
1751136,14154659,0
1693287,14154659,0
1769111,14151582,0
2483983,14151582,0
2076511886,14151582,0
4266258,21990474,0
4973703,21990474,0
4323974,21990474,0
32210047,21990474,0
8183327,21990474,0
14108732,19653587,0
2090906062,19904885,0
1383476181,19904885,0
6457088,19904885,0
2061721570,1237780,0
144495747,1237780,0
145225043,1237780,0
1476162861,19966672,0
2109583730,19966672,0
9084816,19966672,0
5538696,7211558,0
3581519,7211558,0
4853679,7211558,0
115420782,10241326,0
32600482,10241326,0
115389359,10241326,0
2002682,8160903,0
144051660,8160903,0
6478620,8160903,0
1767672,8160903,0
3391776,8160903,0
6828850,8160903,0
2111047263,8160903,0
6079547,8160903,0
3214309,8160903,0
27016132,238814041,0
41154933,238814041,0
2148474588,238814041,0
34732151,238814041,0
2153230035,238814041,0
50042010,201836678,0
2156089125,201836678,0
1491070985,201836678,0
2148820827,201836678,0
10749545,201836678,0
2107630264,201836678,0
2054963183,201836678,0
3806974,201836678,0
2107688532,201836678,0
2630510,27794840,0
35185410,27667270,0
88272605,27667270,0
4086458,27667270,0
15986786,27588600,0
7021738,27351979,0
145664618,27393318,0
1799376,27393318,0
2121201,27393318,0
2517066,26043138,0
15130993,26043138,0
144383185,26043138,0
3483687,26043138,0
145418682,26043138,0
6569655,26043138,0
29343648,26043138,0
49838098,26043138,0
29749770,26043138,0
153640001,33402859,0
153105887,33402859,0
