authorId,url,name,affiliations,homepage,paperCount,citationCount,hIndex,fake,institutionid
48420546,https://www.semanticscholar.org/author/48420546,H. Choquet,[],,95,5423,32,0,7869
2752826,https://www.semanticscholar.org/author/2752826,A. Khawaja,[],,187,5081,35,0,1643
1923503,https://www.semanticscholar.org/author/1923503,R. Wojciechowski,[],,117,3713,37,0,7965
6868297,https://www.semanticscholar.org/author/6868297,M. Tedja,[],,37,999,12,0,500
144308672,https://www.semanticscholar.org/author/144308672,J. Yin,[],,56,1718,16,0,26
41151953,https://www.semanticscholar.org/author/41151953,Mark J. Simcoe,[],,31,515,10,0,2145
98915145,https://www.semanticscholar.org/author/98915145,K. Patasova,[],,21,176,4,0,1232
4395387,https://www.semanticscholar.org/author/4395387,O. Mahroo,[],,171,1877,22,0,8366
39346533,https://www.semanticscholar.org/author/39346533,K. Thai,[],,47,1681,15,0,4566
6688921,https://www.semanticscholar.org/author/6688921,P. Cumberland,[],,132,4828,39,0,3994
3116570,https://www.semanticscholar.org/author/3116570,R. Melles,[],,80,4055,26,0,2658
31769763,https://www.semanticscholar.org/author/31769763,V. Verhoeven,[],,99,4497,31,0,6429
145072252,https://www.semanticscholar.org/author/145072252,V. Vitart,[],,309,46271,91,0,3471
4155963,https://www.semanticscholar.org/author/4155963,A. Segrè,[],,88,27645,40,0,7166
2259942,https://www.semanticscholar.org/author/2259942,R. Stone,[],,205,9302,54,0,662
145440048,https://www.semanticscholar.org/author/145440048,N. Wareham,[],,1825,203718,213,0,587
3689576,https://www.semanticscholar.org/author/3689576,A. Hewitt,[],,559,17978,71,0,5108
2486087,https://www.semanticscholar.org/author/2486087,D. Mackey,[],,736,27329,81,0,4457
145356238,https://www.semanticscholar.org/author/145356238,C. Klaver,[],,448,28743,79,0,8750
143745443,https://www.semanticscholar.org/author/143745443,S. Macgregor,[],,440,19496,74,0,1678
2444012,https://www.semanticscholar.org/author/2444012,P. Khaw,[],,687,21270,81,0,3430
143644589,https://www.semanticscholar.org/author/143644589,P. Foster,[],,420,23690,83,0,2097
3912946,https://www.semanticscholar.org/author/3912946,J. Guggenheim,[],,179,4921,39,0,857
152959197,https://www.semanticscholar.org/author/152959197,J. Rahi,[],,114,3838,33,0,5577
143882642,https://www.semanticscholar.org/author/143882642,E. Jorgenson,[],,220,10060,46,0,1728
