author,paper
2072171583,22054668
5775706,21556568
51077171,30959469
2058635623,28995877
14757979,29099675
117828336,39405780
6948023,36618621
16198612,35789250
2402249,33939345
6843298,36949242
14178615,33280108
7202906,53754215
79662692,52959866
34568449,46122191
4620609,43226706
5519813,43084157
1420874471,7734206
4770316,4023837
103030904,228091887
152327433,1959962
4441033,2893001
2144260739,52236
144491646,41283643
8631487,20019491
2059585586,203314113
6064078,31192497
33443642,41941337
30311180,20987464
16983526,27717248
3421739,42334854
4119223,33749822
144196595,21324677
153024464,36570610
34888077,171093222
104298693,171638109
5661427,2862006
98124654,210446996
1400342745,19915136
14577484,29482050
5182516,29928409
5533594,47241850
5317723,12381009
16240530,20318492
2158044661,33161957
49757168,40801496
143950844,19712056
145788385,92016870
47981977,11162827
144947384,3719283
33383688,3259833
37758428,11233192
13656196,44411002
86951270,39956739
120332551,226597978
2096031855,43765335
2156870028,247201725
35473074,38928357
2638987,229315875
2255359,32587045
6118897,35756371
11119977,229316643
1968820,125627816
1713120,209930408
2144179845,89664903
9328789,247812440
143978762,16923867
36968328,14130261
2587889,16769709
50125769,38793640
8451292,235776716
2127956054,248323262
117844615,139824664
2111405429,248241782
6155440,34709563
5763505,39153326
2376797,12972658
2630062,238736140
2151717,225538939
52384142,240966803
5831712,205688512
50468836,182046380
101259009,189352130
153378244,127409870
1712312,43747534
5036252,224780615
46989804,159329194
9366281,235078040
48939440,174810886
2065953637,219284399
4862737,236163417
49477002,231304001
66712449,215795686
2145493272,210386448
2140107907,207224331
145955349,206371319
150019438,196515775
3233940,159090289
2054946750,161478975
147712549,192030515
46880068,119120736
48011205,81056749
153009418,26375831
3325567,25697451
2124622623,39287782
152566889,39525934
39759946,36635909
48947881,35846680
7983511,15962009
7289195,224321528
1393268324,214051689
2058266565,232317560
2091578644,237798170
22538580,244320925
49402222,199436237
6720857,8933057
49454774,235453436
69876764,198572865
6267601,206388255
30539658,138373567
145426266,203707256
94828080,203425160
117261411,163014451
92820096,120097159
83667704,144519414
2542754,53209099
144215521,38558135
1752546469,37833793
144073726,31765041
47300428,27714189
47353919,27952809
48974718,24906786
113151906,25060548
48930968,56142888
145087747,67800761
37313465,23358070
,13024712
145453454,8473583
144245984,8343733
2107656323,21480715
2907900,15258551
48605037,5588860
31709971,3584180
144714592,9919588
13106703,199506022
2069177943,182349229
1747922,32550384
152131612,40926978
39121022,5505652
82186201,45050611
7946892,42715210
2132726,42754104
38796005,40536084
2942732,34638400
146117872,36528687
8052835,13153479
2107594303,44866314
145826289,46871649
3633854,29408403
50177699,34848896
1877326,41965752
113065080,33439376
2165257,46362312
145548168,22184813
2490222,34438283
4739937,7879993
46500093,2657248
2115243847,244172041
82103680,211389658
145913158,195072458
17161205,34896733
145862417,14300502
73839284,163089792
49037768,31308173
6282799,27458047
39029487,28204603
4988758,20552089
2111049587,31103485
32662306,28697374
115169104,202495992
46942222,207260207
2107698224,135924033
83215601,125360921
9616379,231963716
35225517,87257026
4725659,9983364
2109999199,233655054
50057097,211246722
2152620094,5959144
1778604,30133430
103560927,238658055
6019845,231768909
1895783,237885762
2082931141,248305432
1656681830,196560935
91406637,237713064
119344721,211749987
46518135,204821709
104333973,149685384
1403052552,116801239
144140567,20573135
2508651,45556903
50313371,211829718
16338049,234793988
52276675,214762259
92164500,237849655
50595617,159758061
1409248939,158441593
2111942248,129718750
6172479,72108866
31062557,41569710
1447342257,45540835
11829624,38646717
31566887,44021710
2281712,43274936
90813857,33306470
37436604,31451413
153366236,51634824
10120118,27701714
2152664453,33978441
2054051340,30894280
47522794,22706509
2143540506,246418066
46205336,204756383
47178905,39907764
2154888632,36413452
101088984,245829308
46308097,190907345
10129253,220258120
117916355,237918704
2121784159,253910327
2005135854,252088527
3589451,245704099
147715176,238732501
40861575,235504363
143667029,232420539
49465091,232481864
15752770,220653837
151400515,211135320
49465091,210133143
5283300,25070184
34888654,30237709
1835846,30469375
20353786,838357
48620709,5178006
4382145,222170283
2061865056,224824449
2110552252,81141961
143628535,51891915
104239886,252559125
5188124,257391576
12370614,256055437
2196717072,254843736
9756605,254618047
2191635663,253733109
2191659488,253733270
2047147467,253599142
4736772,253260436
15305576,252871342
2069863948,252160719
102212753,251759261
14370135,250968655
2173203432,250030824
33504059,249137714
145649746,249216314
3705706,238217077
7964135,236944624
6677809,235786220
9531430,233036005
14469286,219756863
108131789,255801366
8546373,246424070
2118759235,240538472
2054676172,237555230
2107664997,237649092
49981137,237854343
49451234,236275846
1607037769,233954382
2152886581,229310668
121928911,199541131
50556355,117244517
9319953,44335137
1769111,45797271
2050338418,245978243
89865807,225106017
1442042773,222310485
3395572,202124062
5472367,53235550
17812873,3357966
2158003125,24075216
1705177,21768703
88668231,151007546
8756771,7606117
2199931462,255594077
1423354879,254106586
2089247833,201804833
2048321296,196661069
115084385,202074035
47650983,19123310
115084385,21922849
1397957864,12213033
35364477,38205865
31958599,46328069
5720582,43255550
2580049,24716241
46927726,39932985
16744497,10391899
7021738,41014254
1704622,33544779
144472889,237771748
2106628128,235302001
1799398854,222155048
2140353226,212664341
1576372398,218679825
150098897,150075967
2074278365,202554270
144113710,30736075
2190684523,23892886
13613160,28249734
6235536,21797404
3746423,44589100
13266709,41592564
8383022,38940159
6354193,23655657
145570402,20865445
6235536,30773486
48578140,35090790
13173354,22947616
1945453,14107426
2504848,2820054
2873234,269641
1677083358,250200391
2019926427,247061312
1903876352,233190458
2116680034,230576868
2019926427,229325758
145760630,219315083
1422622894,25112359
2152947756,254222970
120658032,247060790
,238696291
46406177,199539829
46665403,147707615
150245877,244507978
1734991546,219183295
52642934,214215024
2738418,199582604
2738418,70309317
35416594,69242822
2456513,44223300
1694758,10376612
2066412931,16966041
1800688,17369646
2110673629,57393911
2115837710,418790
5314388,33924073
4836283,46042716
2179014,42493964
4813463,38116957
10087607,38277844
78670480,30198692
2703351,28108359
2703351,23691389
2703351,34557450
4030401,20271940
1791863801,220335764
50204552,12676170
97698667,11650332
97698667,5741404
34608088,16229449
34608088,9767398
5966591,42602087
3540275,234225486
34634740,55046107
46874694,9461746
46874694,30036685
2176075386,250503320
4611406,256617947
2054700951,251032969
3849978,237280867
145741402,237434595
3704594,207937592
38900673,247382728
47225423,42741574
47225423,206312284
52040396,253317972
2825758,250731978
2825758,231899233
2825758,236657808
12470889,226951320
1841864486,220877292
2055562191,208035909
49871349,203606383
2088611120,104330173
66358376,59224714
12821729,104447883
2825758,104840023
152328306,52969331
46204826,206120044
2825758,19385313
145242621,956590
1471640135,250312573
1661540422,247383739
40195935,227077222
2464807,214704490
46290295,253303782
2141254688,248832365
35384251,248554191
66043460,246943066
1725442239,218980655
39497641,210998487
39497641,207946925
2142753971,248415456
146233058,246090176
1899535184,221238120
4590537,239466779
5475936,233433006
16196555,231391456
12442702,256457958
34411061,255633001
4511014,247936955
2027497529,247453478
2136561356,247791077
2028891211,235766779
145968072,245191708
79818695,245438579
145891878,235346691
1411490511,237215206
48911839,232368960
39995344,232160763
51924568,244341175
8003662,227121487
4511014,226254927
2375079,257251800
2151810904,256192520
2151810904,253655112
2109383237,253507109
40659441,252889171
2375079,249823166
46331976,248315043
2151810904,247452269
2143488914,247483720
2155812837,246859309
2375079,237593703
1996227547,247937360
1441385033,210912377
5569976,58576718
4165072,35366931
7409083,30262275
3845083,412209
2096778330,14525249
6836534,21642616
5372806,30676679
29948943,10846657
5535989,28995340
2814483,8889986
50640469,36080552
88213327,162482262
81241240,131367106
87750249,130284595
2201184337,242173462
1685520478,233197383
2113796451,233197634
2051270858,233198183
51002080,225205829
2108195512,231848589
2041320686,229373825
145866479,230617529
6134073,225324935
93908682,182144924
35150462,139380783
1717199,12790253
2391599,256231760
2391599,251286826
145040777,245955363
144904876,245132841
2036800953,238943474
1591580985,221861879
51184704,235472787
48953745,123240508
48656150,128755887
46294756,233960650
2131068005,238091163
2834523,224844362
2371719,17103224
2371719,7680134
145764442,251553501
20923439,229720366
2061342575,234683876
49892181,231911145
37842680,231653388
2086659078,231590362
8578012,220435097
14921904,219702453
8407196,221504012
6234412,39099601
49374342,39604571
144098243,42813126
3601680,25795581
13602956,12882627
144004917,31094297
,32742955
11335582,33653439
123532804,43322655
3279931,4446883
145930167,6805256
2106339127,235240320
6987170,1088236
6987170,44638507
2107684107,37134779
14353447,211063778
143945805,8691489
6072945,28918925
34683282,6952991
25242171,20488246
40376407,205221972
152717274,21253154
35571080,24758983
5733202,12545836
4516541,30757178
,22186516
6274685,5664409
150979517,220373228
92683187,214535261
2459312,40320217
31193182,3357237
145736289,9564277
3700882,1121576
13977288,3346033
3838341,3337918
144789542,19115550
2071103584,25851476
2066603088,3334939
11877622,3376721
2059975801,153314391
2081897824,36198884
6415265,253332332
5821322,253120495
1404821869,251654690
1803570975,249434715
51111870,245707563
48146888,238354490
145978687,235709570
2047834899,232142336
47022622,232159384
101559393,227255620
11162330,220407399
88054182,219919620
,220372243
2144011464,214719904
5821322,231594020
119959963,140317321
40557056,59250436
145865732,150798397
14104787,216504823
12352276,27672896
7196178,24606907
3909899,55824540
2108997640,704350
46394389,22984400
143924973,9875256
2052404,221716819
1965932196,221917805
1405711517,198964698
2060592369,56717528
1410752027,160011378
4856437,255594512
6140245,250128503
8282602,239013326
2063312517,237510271
152928616,252129288
2199240512,255415365
1456188905,253789520
1755916,247254450
1855173,246316065
152362984,244256742
2059026341,238208066
2128712492,237706680
1753886,237671599
2000392122,237366476
2016408,236922023
5450338,208061624
34097041,202855158
48121260,57192956
91484465,92415536
143827244,90038888
4529245,196627526
1994749584,222089394
24552368,22613333
2873166,13980768
91234281,30318639
66747933,231611382
2118920472,57202
108328545,140602632
121460411,162627129
82148909,162396957
12831473,238773012
1399403237,235676498
8030438,237080841
2107384044,245569090
41203879,53077198
2071127187,253859457
48451124,235722589
2089847095,234031445
32609875,207844734
46964538,115600573
39025114,25933489
4398909,25950551
83040191,1193385
11975776,225126133
11975776,56149730
2070250293,9358571
6784134,22757686
36376235,219620587
15724318,22766649
2085908435,45786733
10739329,22209208
7190015,12156798
97562772,7109680
38535254,20105679
5027446,205524549
13016342,38444411
144756687,237835989
6309741,234400961
4761508,159333793
35662715,16245702
38724184,24706351
117578799,21960017
3846463,32773234
143629855,59944215
143629855,7365909
9892603,44671109
153187243,14665258
20787984,46058983
20787984,6478552
20787984,5700347
,25182370
46230333,251664915
2116522796,237967303
6257564,189817246
145093992,155103173
48141458,196527685
50317001,51706858
101967410,23708435
3067895,242508687
3067895,56717404
145788331,18636956
145788331,14479664
3152836,25623906
145788331,45253110
5430123,23104211
2093381679,45568517
2093381679,33616326
3722218,13349348
72703122,2033905
8325257,205488451
2180549,13797610
4647328,1120424
12252719,89154031
4842503,11232049
3876119,25857169
2115512838,255778102
2119304040,249137599
2119304040,250004578
35368266,253629113
144705629,251030683
3964032,27338751
1992947744,222237761
2499370,229720491
1995344447,227239700
80883653,257389091
52245582,256964552
35758676,251936305
51072370,249869226
40341730,248695898
1403177631,248695816
1503600459,246032464
35231544,239025788
30129718,233425116
115814702,232766689
65920476,221307965
1516290514,211689851
7844153,245947088
8465555,233716855
2109490329,227168585
6218427,226964215
4193198,195871713
119656208,195880895
145361171,125341109
36857302,42351921
3567335,31889572
144913823,33966847
46269865,34233155
13497086,10102218
,31961744
2373104,3096243
2149390466,16200019
4469061,15067386
4982114,30391642
7383968,34585833
11443136,41012649
7383968,43804678
2154852,18199564
52163922,57375024
2109646838,9488862
1429624182,25428147
47428951,2433012
49784082,9783647
2139604876,31316876
23195350,108371569
23195350,34802179
2787722,45243606
2630381,24544404
2630381,13907589
51031681,14418261
2069591089,3282321
2071018516,3271383
2069591089,12984439
2095420,18349652
1702620,16166606
145863685,3484844
145109381,8143005
100881012,255597155
2043288667,249018135
2153932769,246431138
2114904857,249064023
113997161,247152116
1716468,7094521
1716468,29685222
2818707,14711347
