id,volume,year,fake,editor
043f505b-68a5-43c2-bed4-09a34982173e-44 5,44 5,1988,0,48656150
cbf8792f-e5da-4b72-8a49-80755d7abf39-19 7,19 7,2000,0,103280737
177d108f-bedb-4283-af7f-6d3919529bbc-37,37,1995,0,1785390089
6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a-370,370,1994,0,82005044
28477905-a66a-4e48-bf6e-2c3518b17bf0-74 3,74 3,1995,0,73066030
3f93c423-8b91-4f5b-bd95-d36515c1c553-41 5,41 5,1997,0,2086431622
3227dfc6-3c54-47e6-a0fc-39be9c511d98-39,39,2006,0,2122200831
32d29099-0305-4734-b3ec-534d630e10ff-16,16,2018,0,6587084
12ace622-3f87-4fa5-99e2-48cc71da77d7-34,34,2021,0,143895133
7a81d01c-ee3f-4f27-b696-01f35da67f22-572 1,572 1,2006,0,15019487
9f90c52e-917d-486f-a6a6-e37a9a706d32-25 3,25 3,1991,0,46932354
b2be1780-2781-4025-9bb8-8147463f35a2-41 2,41 2,2001,0,104519217
9e2e9269-64bd-4c32-83e5-c4da76645611-103,103,1960,0,5760524
2294caa9-0a4e-478e-9cad-c0218907d492-22,22,2005,0,52208693
8815dd4f-a3bf-4ba4-8085-f88fd437a4c5-120,120,2019,0,3159738
871bdcd3-3901-4df4-8581-725f38214165-36,36,2020,0,186888486
01c93b25-c79d-47c7-8eb6-79ac1e1d685f-nan,,2019,0,823679584
638d1b1c-6c05-4b65-aa2e-ace42ee26e95-7,7,1937,0,720328137
9bdb673f-49a2-4f38-b2fc-618ea577a4ad-133,133,2016,0,867811760
185d0b79-ac59-4503-bb30-14fca2190fc0-3 2,3 2,2013,0,147538332
7831aec9-5840-4369-b43c-ed24bccb6fdf-56 5,56 5,1971,0,2064149998
136c8b3d-48ba-4a61-bcd1-f04045312cd3-nan,,2018,0,15640403
7a7dc89b-e1a6-44df-a496-46c330a87840-3,3,2022,0,92382397
d5da7004-7b61-450a-9c7d-a39500de7acf-27,27,2020,0,161598556
b8b7ca92-baf8-4895-ab4d-2ff0754c865e-8 5,8 5,2019,0,730475507
ad2ae6f7-53e8-442e-900a-bd9ab7ff3865-21,21,1987,0,71222037
2f6dc6c9-f90a-4dfe-8a86-3949bc86aea2-51,51,1996,0,1791863801
4c9bb7e5-0c3b-4021-87ba-7c49a56f9d5b-57,57,1953,0,47360095
8de99deb-a336-474f-bec3-8b50f6e9e581-nan,,2021,0,390942107
c2d2f226-917d-4d4a-8e15-193125d1da93-131,131,2018,0,2049862497
b9047042-f0bc-462d-bb5a-8ed2de73e550-nan,,2020,0,2066639384
30a3516f-33cf-46d0-bd04-26474fc49522-54,54,2019,0,2106628128
3602650f-9fe5-4078-9a5f-d8c95032a34a-47,47,2014,0,145866479
9d4d5a77-8e41-4e91-bd4a-d55553fcc957-nan,,2019,0,3849978
991d321a-61b6-4c0e-92a9-afe4b2f68264-209,209,2012,0,742472460
0ce045cd-d837-4b80-98f4-715483fc1962-45,45,1979,0,37474083
8c23a1c5-cdf7-4cc9-94ff-287aaed63749-26,26,2015,0,2093692423
8f6e0f68-be8a-4ba7-9f7f-b17fc432f478-60,60,2018,0,49655786
1bce206e-68bb-4431-9d27-9d8a5072005f-21,21,1987,0,266080925
4f4377a9-e0af-4ede-bb09-a02f662d27a9-101,101,2005,0,9847190
f554e418-c500-4d29-9479-d813026a6cae-6,6,2002,0,12370614
a8009bad-664b-465f-9fc2-8656bc637bc4-611,611,2009,0,560822239
607fb06f-dfb3-4bbf-9815-ffde1115a105-nan,,2019,0,39369840
fb27311b-7236-4828-ac26-ffbf0eec5dc8-301 3,301 3,2009,0,2888594
0cb93666-8c83-4aa0-8b3a-ff24f0c4b9fc-9,9,2017,0,2049382149
d64970b5-c111-42a8-aef4-66705a3b73dd-abs/1112.5032,abs/1112.5032,2011,0,364911243
b2fd8f55-bf84-45e9-8845-a6ea0d69b310-1,1,1983,0,49952235
7b7c2393-3374-4ff0-9dd6-a33e45f01927-53 3,53 3,1999,0,4471721
39da5af4-7f26-4cc8-8363-968068328ded-1,1,2006,0,5014608
0c74341d-dff9-455e-a401-8950f0826867-19,19,2010,0,48850265
d43a01dc-0d69-42a8-98c9-8001bd35f1f8-nan,,2019,0,546605970
bade12e5-f20e-4b51-83a6-534e3705569a-nan,,2019,0,425980496
6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a-168,168,1951,0,145240060
d2c8b74f-b358-41e9-907f-6d8f9fa0c547-nan,,2018,0,66977337
ba401745-5ee6-42c6-883a-182f0aa0a8c5-53,53,2020,0,1802616
15ccb98b-6b97-45c2-9cf1-b85015b6a729-31,31,2019,0,1413270381
ea85ba07-ca09-47d5-8626-f0df6ab56312-121,121,2021,0,6317356
6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a-573,573,2019,0,9294715
1f6a6b6e-149c-489e-b919-f10e05d8569e-nan,,2018,0,143882352
cb6a988a-6c3d-4ff8-aa8c-7ee9bbcee460-1,1,2016,0,17357405
aa22ba5c-fb03-4b2b-89f5-360bed5a4cfb-nan,,2019,0,803517017
567a5f12-d8a9-49f7-962b-d78b5fc5a6ac-nan,,2019,0,51111870
5335e49b-808e-44d3-bb5d-1f76b82aa45e-nan,,2018,0,2337585
34e959c8-272f-4460-aa67-7cfc351960ad-14 5,14 5,2018,0,249065263
a465004f-0e40-4504-900c-9f6cbd20d5f4-40 7,40 7,1992,0,49680134
9b975127-186d-4b72-b03c-7b63988f3aec-34 3,34 3,1973,0,2179591929
4431daa4-da7f-4fbc-9d1b-6ac7f82b2e3e-65 5,65 5,1953,0,1903876352
111644b3-f1fb-4efa-a7cf-9a6b74af6da5-23,23,1935,0,638015370
d0046ca9-9064-464a-ab1f-8947412a4f14-98 1,98 1,1979,0,20887933
73db2f88-e2f8-45b4-8d52-0a89a9d0e239-10,10,2013,0,396426137
2b946b35-df57-49f8-9d9a-045ee806060f-164,164,2004,0,11021467
6dc78f19-d8c3-4d94-87e0-6a65e5e90641-32 3,32 3,1992,0,2107375051
f99f77b7-b1b6-44d3-984a-f288e9884b9b-5,5,2015,0,115389359
822eb55e-c539-45c0-8d69-80730d2a9639-108 1,108 1,1986,0,7578370
d56ebe2f-b08f-4b5c-ae3a-63144701ed04-29,29,2010,0,5627605
396366a4-a1ba-422b-a9ff-1471ee08eab8-19,19,2010,0,333478745
98ea9a6a-c9d7-4b4e-97ec-ee582bd62fa2-13,13,2006,0,8383022
b08a0dfd-e5a9-4a0a-a1d5-16a2b8985937-34 8,34 8,2016,0,48090859
688ca3af-cc7f-4b93-89e5-bf7daa4f8ce9-54,54,2018,0,321251526
f3358047-5fa1-4315-9473-4bb4c19cb756-17,17,2006,0,67093383
391910d2-0406-4b4e-a3e9-ee16942e3b84-6 2,6 2,1998,0,2108732851
56a31f29-95a9-44ce-8dd7-95809bcfdfc3-53 5,53 5,1999,0,31984327
9eee5892-5ec1-43c5-8b55-447ccd2ea709-121 5,121 5,2021,0,6640273
9c1528bc-37b9-4558-bde6-4b171c8e6cb2-44 519,44 519,1971,0,762259010
0199040d-80b8-461d-b4d3-66056764c7bc-27 8,27 8,1972,0,36074475
6565bc17-8e57-4872-a632-2ebf24e8bc06-22 6,22 6,1965,0,5368679
98c61acc-a8fc-4fde-a125-33bbfd87206e-37,37,2012,0,152575618
a714ad7c-92bf-4c88-ba04-b0086fb72e7a-82 1,82 1,1986,0,846079303
b4f4830c-d0f0-4e78-ae6d-ece3bf3d10d8-12 6,12 6,1967,0,3392731
a3a133fa-8f7c-43dd-85a8-ea7f85c69290-23 5,23 5,1973,0,144314191
ba924ba6-53e9-40b5-aaaa-eac478d7f794-39 6,39 6,1968,0,3642789
d29bb04c-59e3-4f7a-9113-26615223c3fc-19 1,19 1,1998,0,884325459
5ebc36a9-641d-4e41-bc32-7d884877b6c6-nan,,2018,0,50640469
01c7a86f-47d6-4459-8052-37d94f99a653-33,33,2020,0,5641527
90b4735b-3fd0-4510-8dae-00b9390899bf-73 3,73 3,1972,0,2145493272
433763a5-3f36-4819-8240-bbb631740085-25 11,25 11,1967,0,47282687
a5913268-3957-484f-b41f-347b0ba23338-22 14_suppl,22 14_suppl,2004,0,93618115
25248f80-fe99-48e5-9b8e-9baef3b8e23b-44,44,2021,0,143644589
706aa543-e18f-4ead-9b21-4fdd29bff2a9-40,40,2018,0,666981627
e6a9f76b-5239-4afd-9b6d-ec6007ae5b01-14 1,14 1,2021,0,2086754838
cf8e7aaa-7382-440f-a097-aa870631e8e0-7,7,1899,0,12694948
ad341cbc-8727-43dc-9a23-a05966ce1f25-57,57,2018,0,5869498
f17cd7ca-00ba-4cc7-b5d6-00d907cb14ca-40,40,2014,0,31310597
643b0c17-99ac-463b-81c4-df44ad66e34d-127,127,1997,0,1412599038
c0d762a5-d1c5-4428-b8fb-7a95a5d1853c-17,17,2018,0,31512574
d4f21b1e-9e5f-4826-b4ab-b28cdefd0f57-66 1,66 1,1984,0,119135935
9d1b6c0f-be3f-43da-9e3e-487464a59986-33 6,33 6,2002,0,1593122866
fc764fb2-441b-4a54-aabb-555f5b6ce1f5-38,38,2018,0,5522400
8dea56ff-1fb7-4dcd-9cd9-b6c18d7fcf8c-164 4,164 4,2007,0,21060425
9aef3b55-2b26-4ede-8def-fcd0839b7d9d-43 1,43 1,2012,0,4337358
1f732346-014b-468b-af67-371e4fd031b4-54,54,1999,0,48471469
07cdd50b-b8ae-4d6a-a59a-cc06582d3287-1 3,1 3,1983,0,152566889
a82c6245-8223-4542-a61a-122eadde10fb-42,42,2009,0,264748025
afdd2d91-e55a-48e5-a990-fab6c266a816-9,9,2002,0,1738532567
07a7931f-f249-4ae5-8cce-dd0ab1903d5a-92 1,92 1,2016,0,3715325
72ccaa51-bbe7-4b6c-b763-48063d12d485-86,86,2004,0,1711563
cbd2f27e-09bb-4b4f-bae6-4492cfa1a978-42 2,42 2,,0,6569655
7698ac5f-22c2-455e-9a54-c47cc6b0da11-51 4,51 4,1958,0,40803155
e227f350-ee82-4fb2-95a7-ea54ca9be690-34 1,34 1,1988,0,2054774840
6806a4fd-e465-4e63-aa7f-b8151ddee3a4-18 8,18 8,2012,0,6694148
476b8ce6-a736-40f6-9b80-59ae562407d4-10 3,10 3,1996,0,12810272
b08a0dfd-e5a9-4a0a-a1d5-16a2b8985937-30 1,30 1,2012,0,143882352
b6e9b869-3e68-42c6-ab41-146d8c393239--5 1,-5 1,2019,0,8507171
dbac407e-bbb8-4563-9030-5fa685719531-44,44,2017,0,573647914
875343c4-7a7d-476a-bcf4-37487749bd36-76 7,76 7,1976,0,2166235123
940462b0-c2ae-4cda-9e10-e3d7cffc353d-nan,,2019,0,370362866
ebed367d-6818-4a5c-b5f9-fccdd32d3431-61 1,61 1,2013,0,999991488
55ac51ae-2fa9-4ac5-9d41-ded45d38fe28-17,17,1992,0,145824454
c14021b1-9b97-4f28-93f9-75c4054565e6-27 2,27 2,2018,0,149759654
3a9b84c7-227d-4c74-82e4-f5fb6df20140-33 1,33 1,1995,0,144923986
592507fd-0739-4855-ae80-eb3dabbce52c-24 5,24 5,1992,0,745854621
da3aa7f4-bf6a-4701-b7b6-10b307db90df-90-C,90-C,2007,0,244319483
afa2249c-69dc-4fa5-b85e-f3395766561b-148 1,148 1,2018,0,2112518467
26ed29a9-64ce-4d6c-9024-8b022fd2fe22-46,46,2008,0,456938221
89147d81-4abd-4d8d-972b-79613a41804e-5 6,5 6,1947,0,955197884
9c325f93-fc57-49ae-bae2-b8b52260d1d4-33,33,2020,0,2456513
e21035a5-0660-4372-a981-9789d24ac1ff-64 3,64 3,2013,0,2081501
51278f27-cfdd-4938-81e4-9d54ca7b3cd0-11,11,2022,0,2118871314
31360f9e-e93e-467e-9b41-9fdb3e15ca5a-27,27,2007,0,47875025
6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a-nan,,2020,0,6631092
b6e9b869-3e68-42c6-ab41-146d8c393239-54 4,54 4,1967,0,4942929
2f9ee757-886e-482e-93c3-8065b9912e63-64,64,1967,0,33624670
b3007da0-8560-489e-a1de-937fd96195fc-63,63,2020,0,6892854
e4866174-bf20-4fac-a8e3-2f02202f3cd8-133,133,2020,0,51064266
9af52a28-9ef6-464c-b01e-72be415f53c9-nan,,2018,0,38109793
ee0ae15b-f071-4a27-b8f3-2fb08af62fae-42,42,2022,0,3086377
c1910748-cf51-4346-9f09-55d2a5775843-109 3,109 3,2010,0,1816080
b5fb729c-41d1-4db6-b4f3-4c23f8ba5294-16,16,2009,0,16240530
b37be024-e5a5-49d9-a68f-22e8d74fe096-41 4,41 4,2004,0,48078706
51db9a3d-3396-4131-b3b2-1f7a1cdae9c9-nan,,2021,0,1396295375
d2b6f83d-a912-40d2-af6d-03ad01c81c5e-nan,,2022,0,2107426049
3e2e877c-b4d0-4436-90f8-1eb7e0c9b77c-37,37,2018,0,2163963360
c1e3e9e7-16cd-4a0c-90e0-fd54b22deb01-47 7-8,47 7-8,2003,0,2054700951
ccd8e532-73c6-414f-bc91-271bbb2933e2-nan,,2021,0,145584953
fff3549c-df24-4aef-accb-a33ae442a828-nan,,2020,0,652040131
8cc2b0d9-857b-4a8f-ba25-238e9e224c88-220,220,2019,0,144037423
c8467136-289e-49bd-a515-8183ee2e8604-nan,,2020,0,3459472
d8fc27e3-52dd-4758-bc70-1983b8a26797-208,208,2010,0,85504651
b08a0dfd-e5a9-4a0a-a1d5-16a2b8985937-nan,,2020,0,806730255
63ec3d3e-fea0-4ff3-8f6b-b73ab6c91778-nan,,2019,0,481217729
51ccd406-d8bf-4e43-bcff-8f0aded26c15-9,9,2021,0,1731204677
8506a01a-40b8-4e6f-bbb8-ce2492139c15-21,21,2020,0,39557418
e518e9bb-0f9c-46d9-8900-44ba2d7d8600-106,106,2021,0,4368313
bd08f6cc-3503-4b7e-a948-9974c2d4ef6e-52,52,2021,0,35915406
f9a08b14-bcba-4a8e-bfa5-22f6856c5ce1-55,55,2020,0,1398283799
1bce206e-68bb-4431-9d27-9d8a5072005f-51,51,2017,0,37532957
34926d04-db90-43ec-8891-1cae74c17a1e-31,31,2004,0,3479143
9b6db04a-2990-4cf9-a14c-01d47636ee53-nan,,2018,0,6902292
6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a-48,48,,0,13650394
895f40c9-c3f4-4b8e-9ff1-31b11193ad84-88 1,88 1,1992,0,31193182
1f732346-014b-468b-af67-371e4fd031b4-44 10,44 10,2008,0,74403959
27463caa-f361-420e-afb2-77c6be2a1337-26,26,1971,0,144071907
33cf9dfc-d92b-46f1-a71a-c9777810486d-40,40,2015,0,16744497
4872e1af-0a00-4b63-b6ca-8d4685ef46ff-41,41,2020,0,6249055
bfa3f31e-20a6-41a2-a221-096d7a6b6f00-nan,,2021,0,4182594
45723ce3-7b17-4d2b-92c0-c9f30be1a6a1-94,94,2019,0,867320280
e9143cef-f388-4a2d-a45b-ff3122269f76-149 1,149 1,2015,0,268080053
a75714cc-ae87-4828-a0a2-e7f8d57a5632-8,8,2021,0,29343648
e30e44d3-eae3-43b2-8751-8028e042bb5a-nan,,2019,0,2116703069
19e47693-2094-42c1-b333-786ddeaef505-134 11,134 11,2012,0,6539599
6453188a-d7ac-4f0c-81bb-f95830c98c38-19,19,2013,0,35915406
6afbd88d-f493-4d85-bc06-3358c00b2a1b-61,61,2011,0,104239886
ff4eb8fa-170e-4d36-99eb-f00d794ec6e4-39,39,1965,0,1476162861
8fdf6697-2cb7-4720-9e74-35820f383886-42-43,42-43,2018,0,6989388
b41df651-5d08-4d1d-afbb-0912b1374f15-46 4,46 4,2015,0,529354866
e1f5c2ce-7943-45c8-a1ae-ab59984e1300-2,2,2004,0,2118674903
7d7609a8-3ded-4de1-bc53-9c4243ae9cb9-11 3,11 3,1982,0,48694157
7e8aeb35-2cc0-490d-8f28-74fc198d224a-99 3,99 3,2016,0,14815672
7558a17d-2143-48e9-ba5a-b694b97611f4-25 2,25 2,1989,0,4294129
ae96519d-7cc4-4895-88fb-5a9dfeb29c2a-6,6,2012,0,5407289
85b26477-7344-4a25-a32d-136a2f1a50ce-19,19,1989,0,3039031
bafea2d6-9180-4058-a838-86539f02eba1-21,21,2012,0,66066928
4607f043-7ea5-43b6-888a-2e656fbe0233-11,11,2003,0,48888104
18b45ae1-2727-4c68-afd1-a9c56e174c48-10,10,2015,0,145416683
134990b4-0824-4d08-bc6b-61841a023fd4-32,32,2019,0,78492187
db301a7e-4c42-45f8-8b7b-f5a8bb0e083f-11,11,1998,0,4820771
9955eac7-1ec9-41ef-a69c-f68335b1abe5-nan,,2019,0,2072394141
b2c1b9f9-1a46-4fec-ac1e-262ca2a817f7-nan,,2019,0,965253596
97e7c497-a595-453f-8613-cdb2f15a49d8-209 4,209 4,1969,0,166308582
c20b7600-230a-4d64-b272-ecb160212146-24 6,24 6,1977,0,8325257
9955eac7-1ec9-41ef-a69c-f68335b1abe5-23 8,23 8,1974,0,2063312517
ea575202-fcc2-4a30-b9f9-64956e612b62-23 6,23 6,1969,0,5094707
1ddf450d-8cac-4998-b9f0-29ee0fd569b2-18 3,18 3,1952,0,48922193
98405f8c-bfae-4f2d-a5e6-b06c63bd64d0-140 8,140 8,2001,0,1411379026
9bb2417a-d37f-4ee4-b220-ce9974edbbe0-64,64,1964,0,50691171
480fb94c-09d2-43ea-affd-0ef19848117d-30 4,30 4,1954,0,998124193
b3b67888-d181-47a6-bcbd-efdd5b93d6b3-7 1,7 1,2010,0,747567014
edb009e0-8764-47dc-ae3d-4fda473d3c32-23 2,23 2,1974,0,46328099
0afa59aa-6c0d-46a7-92c8-73388f5a3c6c-98 1,98 1,1973,0,14815672
5d506bd7-2631-4c8a-bac5-406cb4bc8d19-18 9-10,18 9-10,1950,0,2155030253
d6b9f8d9-590e-4d25-9f5e-efdf0130c806-4,4,1982,0,777894497
74b0478a-292c-4fe3-bb2f-71f438f00cc7-16,16,2015,0,558016293
f498f529-8b18-4bdb-93a9-f3123a14a833-6 5,6 5,1972,0,49640720
65a4b642-f42c-430f-9ccb-00fe16741e12-35 1,35 1,1981,0,1805241
0b4751e8-b828-449f-abdd-deb042c728ef-84 43-44,84 43-44,1949,0,3728348
f7dd0d03-7655-4543-951c-a98ab2fcb74b-nan,,2021,0,1387461008
a24fd2ce-fdea-44d3-90df-a2206e16dcab-53,53,2008,0,82707964
821a3bcf-ff02-4bd6-bddd-3d7290eb80ed-47,47,2008,0,50544404
97b374e3-6f09-4e9d-8468-ef344ba51ea1-66 2,66 2,1980,0,2144260739
f59506a8-d8bb-4101-b3d4-c4ac3ed03dad-171 3971,171 3971,1971,0,144871325
52f29427-61a3-4d78-9e4f-e5cc54e085b6-20,20,1998,0,152166143
fbf5ebdc-9da2-4919-88ed-107755c6f677-6,6,2014,0,153366236
324c87d0-1d52-4a84-8e71-3acf0d15587a-50,50,2013,0,5919344
02605ee0-36de-43af-82fd-5d4653ff6b7e-nan,,2019,0,50125769
b127dfd2-8094-49c9-8d55-fa9755d878c2-48,48,2013,0,23195350
2f653012-899b-4db2-8945-60f9304c779e-nan,,2019,0,575638349
dadeb858-a3ad-4fc0-877e-b7b206d1b0d1-58,58,2021,0,591354238
fadfd72e-16e7-4c64-9cdd-9bd30c49239e-nan,,2019,0,857955765
e9578a7c-746c-44f1-93ad-50f99b695aaf-6,6,2013,0,88668231
96ed79e9-36b2-4f58-8ef2-67296adef647-1,1,2021,0,160753581
0aed7a40-85f3-4c66-9e1b-c1556c57001b-15,15,2020,0,3881287
8e374fd7-664a-498f-9dc8-f0e1a9f358dd-108 3,108 3,2017,0,680126512
4a069f30-c266-44c0-be33-f1e1433b7d15-30,30,2014,0,2054963183
f5982c19-deca-42dc-adf6-788a5919e1e4-43,43,2021,0,51139589
44f833f0-5cb4-4b2d-a251-bdb39ee536a4-78,78,2021,0,2107540096
995a88a2-5865-4381-9cd2-c018c783323d-nan,,2021,0,6182506
a901a976-60b4-4654-9618-9c8344491f1c-20 5,20 5,2022,0,116265528
b45279ec-9088-4d27-9697-4a9e81ab556a-21,21,2019,0,5354119
4cf96718-6c79-4782-a4ef-a8288b2022c3-nan,,2019,0,4075373
991ac027-22eb-471b-b604-18413ae682a6-51,51,2018,0,79516093
992e3995-f295-4778-a913-3fe2f227da3f-89,89,2005,0,2110141654
edb009e0-8764-47dc-ae3d-4fda473d3c32-15 1,15 1,1966,0,144257918
12fff95b-d469-49a0-84a5-4fd4696c3f28-192,192,2020,0,1774210
9b4a9fc0-359f-4001-81bb-a1450dff3c6e-nan,,2021,0,5243948
99d15fdc-85e9-4627-969e-c8865824b683-nan,,2021,0,9451468
caa15e82-50ae-40e3-963d-06734647f46a-89,89,2004,0,12295448
3c011c13-ca76-48a8-846d-72a14f8a326f-32,32,2018,0,7353537
02af1b8c-6768-4f42-afd4-0eee77887a50-99,99,2014,0,861988843
7e6d0154-f117-4438-8ec6-ea14ba122636-48 3,48 3,1974,0,35131594
